effect	dir	symbol
nano.Sorl1	dn	LHFPL2
nano.Sorl1	dn	MECR
nano.Sorl1	dn	FAM129B
nano.Sorl1	dn	TRAPPC6A
nano.Sorl1	dn	ACSL5
nano.Sorl1	dn	TYROBP
nano.Sorl1	dn	OGFOD3
nano.Sorl1	dn	C1QA
nano.Sorl1	dn	PADI2
nano.Sorl1	dn	TSPO
nano.Sorl1	dn	CBLN1
nano.Sorl1	dn	TMEM125
nano.Sorl1	dn	ST6GAL1
nano.Sorl1	dn	MYO1C
nano.Sorl1	dn	FXYD5
nano.Sorl1	dn	OPALIN
nano.Sorl1	dn	FRMD4B
nano.Sorl1	dn	SYNGR1
nano.Sorl1	dn	TMEM144
nano.Sorl1	dn	WWTR1
nano.Sorl1	dn	RHOC
nano.Sorl1	dn	PTBP1
nano.Sorl1	dn	FCER1G
nano.Sorl1	dn	NFE2L2
nano.Sorl1	dn	PRR5L
nano.Sorl1	dn	GABRG1
nano.Sorl1	dn	PBXIP1
nano.Sorl1	dn	NDUFAB1
nano.Sorl1	dn	TSHZ1
nano.Sorl1	dn	NKX6-2
nano.Sorl1	dn	SAT1
nano.Sorl1	dn	ABCA7
nano.PLCG2.M28L	up	PER1
nano.PLCG2.M28L	up	AMOT
nano.PLCG2.M28L	up	CCDC117
nano.PLCG2.M28L	up	NRXN3
nano.PLCG2.M28L	up	CNTN4
nano.PLCG2.M28L	up	ITGA6
nano.PLCG2.M28L	up	ADIPOR2
nano.PLCG2.M28L	up	ARHGAP5
nano.PLCG2.M28L	up	ERI2
nano.PLCG2.M28L	up	LRP10
nano.PLCG2.M28L	up	SRGN
nano.PLCG2.M28L	up	TREM2
nano.PLCG2.M28L	up	TMEM47
nano.PLCG2.M28L	up	BCL6
nano.PLCG2.M28L	up	RCC1
nano.PLCG2.M28L	up	MYO1E
nano.PLCG2.M28L	up	CTNNA1
nano.PLCG2.M28L	up	PPP1R2
nano.PLCG2.M28L	up	ZFP36
nano.PLCG2.M28L	up	RHOU
nano.PLCG2.M28L	up	CEACAM1
nano.PLCG2.M28L	up	BAG3
nano.PLCG2.M28L	up	BMPR1B
nano.PLCG2.M28L	up	CDC42EP4
nano.PLCG2.M28L	up	PLOD3
nano.PLCG2.M28L	up	GABRB3
nano.PLCG2.M28L	up	LGR5
nano.PLCG2.M28L	up	PAK3
nano.PLCG2.M28L	up	BCAR3
nano.PLCG2.M28L	up	SOX8
nano.PLCG2.M28L	up	CASC4
nano.PLCG2.M28L	up	CUEDC1
nano.PLCG2.M28L	up	MCL1
nano.PLCG2.M28L	up	CSRNP3
nano.PLCG2.M28L	up	NUFIP2
nano.PLCG2.M28L	up	PPP4R2
nano.PLCG2.M28L	up	ANLN
nano.PLCG2.M28L	up	HSPA1B
nano.PLCG2.M28L	up	AFF1
nano.PLCG2.M28L	up	PDLIM5
nano.PLCG2.M28L	up	SLC2A1
nano.PLCG2.M28L	up	BAG2
nano.PLCG2.M28L	up	PRKD3
nano.PLCG2.M28L	up	COL9A3
nano.PLCG2.M28L	up	SNX22
nano.PLCG2.M28L	up	ATG14
nano.PLCG2.M28L	up	DHRS11
nano.PLCG2.M28L	up	REEP3
nano.PLCG2.M28L	up	SPTLC2
nano.PLCG2.M28L	up	ELOVL1
nano.PLCG2.M28L	up	EZR
nano.PLCG2.M28L	up	PRKCQ
nano.PLCG2.M28L	up	USP54
nano.PLCG2.M28L	up	ZNF768
nano.PLCG2.M28L	up	HECA
nano.PLCG2.M28L	up	NPTX2
nano.PLCG2.M28L	up	SKP1
nano.PLCG2.M28L	up	TMEM168
nano.PLCG2.M28L	up	SLC12A5
nano.PLCG2.M28L	up	MYO10
nano.PLCG2.M28L	up	PPP3CB
nano.PLCG2.M28L	up	OTUD4
nano.PLCG2.M28L	up	CNTN2
nano.PLCG2.M28L	up	PLEKHA7
nano.PLCG2.M28L	up	CAMK4
nano.PLCG2.M28L	up	HSPH1
nano.PLCG2.M28L	up	CLDN11
nano.PLCG2.M28L	up	SLC41A1
nano.PLCG2.M28L	up	PCYOX1L
nano.PLCG2.M28L	up	PSMG1
nano.PLCG2.M28L	up	PDE8A
nano.PLCG2.M28L	up	MFN1
nano.PLCG2.M28L	up	DNAJB4
nano.PLCG2.M28L	up	SNAP29
nano.PLCG2.M28L	up	PIK3R1
nano.PLCG2.M28L	up	STX1B
nano.PLCG2.M28L	up	UNC5D
nano.PLCG2.M28L	up	ATP8A2
nano.PLCG2.M28L	up	CACHD1
nano.PLCG2.M28L	up	MRPS6
nano.PLCG2.M28L	up	IL1RAP
nano.PLCG2.M28L	up	RBFOX2
nano.PLCG2.M28L	up	ARPC1B
nano.PLCG2.M28L	up	B2M
nano.PLCG2.M28L	up	KIF3A
nano.PLCG2.M28L	up	VEZF1
nano.PLCG2.M28L	up	PFKFB3
nano.PLCG2.M28L	up	TF
nano.PLCG2.M28L	up	TRRAP
nano.PLCG2.M28L	up	SUB1
nano.PLCG2.M28L	up	PECAM1
nano.PLCG2.M28L	up	HIP1
nano.PLCG2.M28L	up	RRAS
nano.PLCG2.M28L	up	STX4
nano.PLCG2.M28L	up	DBNDD2
nano.PLCG2.M28L	up	FAXC
nano.PLCG2.M28L	up	YBX3
nano.PLCG2.M28L	up	GPC1
nano.PLCG2.M28L	up	RAB3C
nano.PLCG2.M28L	up	LRRC49
nano.PLCG2.M28L	dn	TRMT10B
nano.PLCG2.M28L	dn	PHLPP1
nano.PLCG2.M28L	dn	ADHFE1
nano.PLCG2.M28L	dn	CHRM3
nano.PLCG2.M28L	dn	TSPAN15
nano.PLCG2.M28L	dn	SH3GL2
nano.PLCG2.M28L	dn	SMG9
nano.PLCG2.M28L	dn	EXOC1
nano.PLCG2.M28L	dn	PCSK6
nano.PLCG2.M28L	dn	LSM4
nano.PLCG2.M28L	dn	RTKN
nano.PLCG2.M28L	dn	SPPL2B
nano.PLCG2.M28L	dn	TPRN
nano.PLCG2.M28L	dn	DOCK3
nano.PLCG2.M28L	dn	ITGB5
nano.PLCG2.M28L	dn	TGFBR2
nano.PLCG2.M28L	dn	LNX1
nano.PLCG2.M28L	dn	WSCD2
nano.PLCG2.M28L	dn	PRR18
nano.PLCG2.M28L	dn	MTMR10
nano.PLCG2.M28L	dn	AXL
nano.PLCG2.M28L	dn	VSNL1
nano.PLCG2.M28L	dn	C1orf115
nano.PLCG2.M28L	dn	ARHGEF9
nano.PLCG2.M28L	dn	SPR
nano.PLCG2.M28L	dn	CA10
nano.PLCG2.M28L	dn	AMER3
nano.PLCG2.M28L	dn	RAB3A
nano.PLCG2.M28L	dn	KLC2
nano.PLCG2.M28L	dn	CLIC1
nano.PLCG2.M28L	dn	C1QC
nano.PLCG2.M28L	dn	ANXA2
nano.PLCG2.M28L	dn	GABRD
nano.PLCG2.M28L	dn	DAAM2
nano.PLCG2.M28L	dn	TMTC2
nano.PLCG2.M28L	dn	PPID
nano.PLCG2.M28L	dn	SFT2D2
nano.PLCG2.M28L	dn	C1QB
nano.PLCG2.M28L	dn	IBTK
nano.PLCG2.M28L	dn	HLTF
nano.PLCG2.M28L	dn	BOLA3
nano.PLCG2.M28L	dn	LAPTM5
nano.PLCG2.M28L	dn	MSN
nano.PLCG2.M28L	dn	SCAI
nano.PLCG2.M28L	dn	SNX29
nano.PLCG2.M28L	dn	CDH20
nano.PLCG2.M28L	dn	ENTPD3
nano.PLCG2.M28L	dn	LRP4
nano.PLCG2.M28L	dn	SLAIN1
nano.PLCG2.M28L	dn	COL9A2
nano.PLCG2.M28L	dn	PLLP
nano.PLCG2.M28L	dn	PSMA5
nano.PLCG2.M28L	dn	PHYHIP
nano.PLCG2.M28L	dn	IFT27
nano.PLCG2.M28L	dn	MOB1A
nano.PLCG2.M28L	dn	PLEKHG3
nano.PLCG2.M28L	dn	GSTZ1
nano.PLCG2.M28L	dn	STARD8
nano.PLCG2.M28L	dn	SLC2A13
nano.PLCG2.M28L	dn	ANAPC11
nano.PLCG2.M28L	dn	NPC2
nano.PLCG2.M28L	dn	SERPING1
nano.PLCG2.M28L	dn	EPS8
nano.PLCG2.M28L	dn	PYCR3
nano.PLCG2.M28L	dn	STXBP1
nano.PLCG2.M28L	dn	CHRAC1
nano.PLCG2.M28L	dn	RBM45
nano.PLCG2.M28L	dn	IGFBP5
nano.PLCG2.M28L	dn	LHFPL2
nano.PLCG2.M28L	dn	MECR
nano.PLCG2.M28L	dn	FAM129B
nano.PLCG2.M28L	dn	TRAPPC6A
nano.PLCG2.M28L	dn	ACSL5
nano.PLCG2.M28L	dn	TYROBP
nano.PLCG2.M28L	dn	OGFOD3
nano.PLCG2.M28L	dn	C1QA
nano.PLCG2.M28L	dn	PADI2
nano.PLCG2.M28L	dn	TSPO
nano.PLCG2.M28L	dn	CBLN1
nano.PLCG2.M28L	dn	TMEM125
nano.PLCG2.M28L	dn	ST6GAL1
nano.PLCG2.M28L	dn	MYO1C
nano.PLCG2.M28L	dn	FXYD5
nano.PLCG2.M28L	dn	OPALIN
nano.PLCG2.M28L	dn	FRMD4B
nano.PLCG2.M28L	dn	SYNGR1
nano.PLCG2.M28L	dn	TMEM144
nano.PLCG2.M28L	dn	WWTR1
nano.PLCG2.M28L	dn	RHOC
nano.PLCG2.M28L	dn	PTBP1
nano.PLCG2.M28L	dn	FCER1G
nano.PLCG2.M28L	dn	NFE2L2
nano.PLCG2.M28L	dn	PRR5L
nano.PLCG2.M28L	dn	GABRG1
nano.PLCG2.M28L	dn	PBXIP1
nano.PLCG2.M28L	dn	NDUFAB1
nano.PLCG2.M28L	dn	TSHZ1
nano.PLCG2.M28L	dn	NKX6-2
nano.PLCG2.M28L	dn	SAT1
nano.PLCG2.M28L	dn	ABCA7
